year,Physics Research,C,Mathematica,Machine Learning,Teaching,Perl,Web Apps,Websites,JS / TS / Node / Coffee,Data Pipelines,Design,Leading Dev Teams,Data Visualization,Python,Clojure & CLJS
1992,5,,,,,,,,,,,,,,
1993,5,,2,,,,,,,,,,,,
1994,5,3,3,2,,,,,,,,,,,
1995,5,,3,2,,,,,,,,,,,
1996,,,,,2,,,,,,,,,,
1997,7,,,,2,,,,,,,,,,
1998,7,,,,2,,,,,,,,,,
1999,10,,,,2,,,,,,,,,,
2000,10,,,,4,,,,,,,,,,
2001,10,1,,,4,7,4,,1,6,,,,,
2002,,,,,0,7,4,,,6,,,,,
2003,,,,,1,,,4,,,1,,,,
2004,,,,,1,,,6,,,2,,,,
2005,,,,,1,,,6,,,3,,,,
2006,,,,,1,,,6,,,3,,,,
2007,,,,,,,,7,,,2,3,,,
2008,,,,,,,,8,,,2,3,,,
2009,,,,,,,,6,,,2,,,,
2010,,,,,,,,5,1,,2,,,,
2011,,,,,,,3,,6,,2,,2,,
2012,,,,,,,5,,7,,2,,2,,
2013,,,,,1,,7,,8,,2,,4,,
2014,,,2,2,2,,10,,10,,2,3,4,,
2015,,,2,2,2,,10,,10,4,2,4,4,,2
2016,,,,2,2,,10,,10,9,2,6,4,1,4
2017,,,,2,2,,9,,7,7,2,6,4,3,5
2018,,,,2,2,,8,,5,6,2,6,4,6,8
